hour,total_requests,avg_requests,total_fulfilled,total_unfulfilled,avg_online_captains,avg_req_per_captain,fulfillment_rate_pct,avg_surge,avg_eta
0,9124,74.78688524590164,2933,6191,12.598360655737705,6.822868852459016,32.15,2.073032786885246,9.54032786885246
1,11288,92.52459016393442,3143,8145,12.844262295081966,7.675983606557377,27.84,2.1460655737704917,9.826229508196722
2,9500,77.8688524590164,3073,6427,13.21311475409836,6.483196721311476,32.35,2.0615573770491804,9.577540983606557
3,6190,50.73770491803279,2916,3274,13.221311475409836,4.189508196721311,47.11,1.8005737704918032,8.005901639344263
4,4718,38.67213114754098,3219,1499,14.98360655737705,2.776393442622951,68.23,1.4705737704918032,6.175409836065573
5,5291,43.368852459016395,3839,1452,17.581967213114755,2.577704918032787,72.56,1.4084426229508198,5.831967213114754
6,6776,55.540983606557376,4832,1944,21.84426229508197,2.6022131147540986,71.31,1.4337704918032785,5.881065573770492
7,7459,61.13934426229508,6270,1189,29.721311475409838,2.1378688524590164,84.06,1.2348360655737705,4.759016393442623
8,6771,55.5,6406,365,36.75409836065574,1.558360655737705,94.61,1.0738524590163934,3.9175409836065573
9,5147,42.18852459016394,5025,122,46.07377049180328,0.9437704918032787,97.63,1.0371311475409837,3.7754918032786886
10,3799,31.139344262295083,3677,122,54.83606557377049,0.5804098360655738,96.79,1.0392622950819672,3.6595081967213114
11,3020,24.75409836065574,2898,122,59.59016393442623,0.4209016393442623,95.96,1.0354918032786886,3.7086885245901637
12,2815,23.07377049180328,2693,122,63.23770491803279,0.36983606557377047,95.67,1.0358196721311477,3.622786885245902
13,2694,22.081967213114755,2572,122,59.704918032786885,0.3757377049180328,95.47,1.0379508196721312,3.600573770491803
14,2688,22.0327868852459,2566,122,53.631147540983605,0.4178688524590164,95.46,1.0386065573770493,3.631885245901639
15,2698,22.114754098360656,2576,122,44.81967213114754,0.509672131147541,95.48,1.0350819672131149,3.672049180327869
16,2696,22.098360655737704,2574,122,36.14754098360656,0.6301639344262294,95.47,1.039344262295082,3.6649180327868853
17,2631,21.565573770491802,2509,122,28.762295081967213,0.7760655737704919,95.36,1.0295081967213116,3.6254918032786887
18,2701,22.139344262295083,2573,128,22.57377049180328,1.0328688524590164,95.26,1.0361475409836065,3.640983606557377
19,2974,24.37704918032787,2770,204,18.147540983606557,1.4022950819672133,93.14,1.0674590163934425,3.708196721311475
20,4346,35.622950819672134,3187,1159,15.647540983606557,2.487704918032787,73.33,1.3754098360655738,5.452459016393443
21,7293,59.778688524590166,2946,4347,13.344262295081966,4.779590163934427,40.39,1.9262295081967213,8.769426229508197
22,11188,91.70491803278688,3146,8042,13.024590163934427,7.532786885245901,28.12,2.142950819672131,9.90016393442623
23,13007,106.61475409836065,3413,9594,12.565573770491802,9.481229508196721,26.24,2.1652459016393446,10.041393442622951
