claim,value,source_dataset,calculation,claim_type,confidence,supported,notes
"Onboarding conversion is 16.82% overall across 25,000 signups","16.82% (4,206 / 25,000)","captains.csv, approvals.csv",Count(final_status == 'approved') / Count(captain_id),Observed,Exact (100%),YES,Full signup cohort baseline.
Mature cohort (>15 days maturity) converts at 17.57%,"17.57% (3,938 / 22,407)","captains.csv, approvals.csv",Count(approved and signup_ts < '2026-06-15') / Count(signup_ts < '2026-06-15'),Derived,High,YES,Eliminates right-censoring of active in_progress signups.
Registration Certificate (RC) is the single largest volume drop gate,"6,102 drops (29.35% of all losses)","doc_events.csv, approvals.csv","DL Gate Passed (20,789) - RC Gate Passed (14,687)",Observed,Exact (100%),YES,Enforces sequential document state machine.
63.63% of RC verification failures are fixable image blur and OCR mismatches,"63.63% (1,984 blur + 1,514 OCR / 5,497 failures)",doc_events.csv,Count(blur + OCR mismatch) / Count(total RC failures),Observed,Exact (100%),YES,Categorized from failure_reason taxonomy.
VAHAN API Auto-Fetch unlocks +75 to +85 approved captains/month,+75 to +85 approved/mo (+450 to +510 / 6mo),"captains.csv, doc_events.csv","3,465 DL passers/mo x 16.82% Delta pass x 28.64% downstream x 50% capture",Scenario,Defensible Scenario,YES,Applies conservative 50% realization discount for vehicle eligibility.
CAMP_WA_002 naive lift (+17.90% pts) is confounded by immortal-time bias,100.0% of treated passed DL+RC prior to nudge,"nudges.csv, doc_events.csv",Count(DL_pass <= sent_ts and RC_pass <= sent_ts) / Count(treated),Observed,Exact (100%),YES,Proves selection into treatment.
Adjusted observational association of CAMP_WA_002 is +4.48% pts,+4.48% pts (95% CI: +3.12% to +5.84% pts),"captains.csv, nudges.csv, approvals.csv",Logistic regression AME on eligible cohort controlling for demographics,Derived,Observational (Not Causal),YES,Unobserved driver intent remains unadjusted; RCT required before scaling.
Airport shortage is 77.51% concentrated during 21:00-03:00 nocturnal window,"42,673 of 55,053 lost requests (77.51%)",airport_hourly.csv,Sum(unfulfilled_requests in 21-03h) / Sum(unfulfilled_requests total),Observed,Exact (100%),YES,Restricted to zone_type == 'airport_terminal'.
41.07% of airport trips drop in suburbs where night return rate is 11.06%,41.07% suburb share; 11.06% return fare in 20m,airport_trips.csv,Count(drop_zone_type == 'suburban') / Count(trips); Mean(got_return_fare at night),Observed,Exact (100%),YES,"Sample of 60,000 airport trips."
"Forward-Dispatch and Return Subsidies unlock +15,500 to +20,000 trips/month","+15,500 to +20,000 trips/mo (Dispatch: +9k-12k; Return: +6.5k-8k)","airport_hourly.csv, airport_trips.csv","42,673 night unmet requests x (20% dispatch recovery + 15% return recovery)",Scenario,Defensible Scenario,YES,Scenario estimate based on observed unmet demand; to be validated in pilot.
