Metric,Source,Calculation,Result,Validation Status,Assumptions & Limitations
Funnel Stage Drops Conservation,"captains.csv, approvals.csv, doc_events.csv","Sum of Stage Drops == Total Signups (25,000) - Approved (4,206)","Sum of Drops = 20,794 == 20,794","PASS (Exact match: 20,794 drops)",Sequential stage-gate progression based on approved verification_pass events.
Funnel Base Denominator Consistency,captains.csv,Count of distinct captain_id,"N = 25,000 unique captains",PASS (100% unique primary key),Each captain_id represents a unique registration.
In-Progress Captains Isolation,"approvals.csv, captains.csv",final_status == 'in_progress' and signup_ts range check,"1,297 in-progress captains; min signup 2026-06-15 09:31:00",PASS (All signed up after 2026-06-15),Captains in last 15 days of dataset have not exceeded the 14-day completion horizon.
Mature Cohort Funnel (< June 15),"captains.csv, approvals.csv, doc_events.csv",signup_ts < '2026-06-15 00:00:00',"22,407 mature signups; 3,938 approved (17.57% conversion)",PASS (0 in_progress in mature cohort),Evaluates cohorts with >=15 days of maturity to prevent censoring bias.
Vehicle-Specific Permit Exemption,"doc_events.csv, captains.csv",Count of PERMIT doc events for ERickshaw captains,PERMIT events for ERickshaw = 0,PASS (Exact 0; ERickshaws require only 5 docs),ERickshaws advance from Aadhaar directly to Fitness.
Primary Key Deduplication,"captains.csv, approvals.csv, activation.csv, airport_trips.csv",df[id_col].duplicated().sum(),"Captains: 0, Approvals: 0, Activation: 0, Trips: 0",PASS (Zero duplicate IDs across all primary tables),Primary keys uniquely identify entities.
Document Attempt Event Integrity,doc_events.csv,Event pairs (upload + verification) per captain-doc-attempt,"186,282 total events; max 3 attempts per captain-document",PASS (Within the three-attempt business rule),Attempts increment on retry after verification failure.
Chronological Sequence Integrity,"captains.csv, doc_events.csv, approvals.csv, activation.csv, nudges.csv",signup_ts <= doc_event_ts <= decision_ts <= first_order_ts,"Violations: Dec<Sign=0, Act<Dec=0",PASS (Zero temporal inversions),All timestamps parsed to ISO datetime.
IST Timezone Interpretation,All datasets,Date extraction timestamp 2026-06-30 23:59:00 IST benchmark,Consistent 2026-01-01 to 2026-06-30 IST span,PASS (All hours 0-23 align with Indian business hours),Timestamps recorded in standard IST.
CAMP_WA_002 Observational Timing & Selection Audit,"nudges.csv, doc_events.csv, approvals.csv",Naive Lift (+17.9% pts) vs Stage-Matched Lift (+4.48% pts) vs 14-Day Lift,Stage-matched lift = +4.37% pts; Adjusted = +4.48% pts; Pre-nudge DL+RC = 100.0%,PASS (Selection bias exposed; labeled strictly observational),Observational association — not causal. Randomized holdout required before 5x scaling.
Airport Hourly Supply-Demand Accounting,airport_hourly.csv,requests == fulfilled_requests + unfulfilled_requests,"Mismatches = 0; Airport Deficit = 55,058 / 136,814 (40.24% gap)",PASS (100% balanced accounting),"Hourly panel aggregated across 7 zones x 1,464 hrs."
Suburban Post-Drop Economics,airport_trips.csv,Suburban drops: return fare rate vs cancellation rate,Overall return fare: 16.53%; Overall cancellation: 21.00%; night return fare: 11.06%; night cancellation: 24.50%,PASS (Trip-level pattern supports a testable deadheading hypothesis),No captain_id exists; outcomes are trip-level and do not prove individual trajectories or causality.
Recommendation Impact Reproducibility,All datasets & src/ modules,"3,465 DL Passers/mo x 16.82% Delta Pass x 28.64% Downstream x 50% Capture = +83.5 approvals/mo",+75 to +85 approvals/mo realistic (+450 to +510 / 6mo) vs +167/mo gross,PASS (Mathematically verified from raw pipeline multipliers),Documented in Part A4 & B3 assumption sections.
